Computer_Time,Seconds,X_axis,Y_axis,Z_axis,delta_X,delta_Y,delta_Z,XfO,YfO,ZfO,Computer_Time,Seconds,X_axis,Y_axis,Z_axis,delta_X,delta_Y,delta_Z,XfO,YfO,ZfO,Computer_Time,Seconds,X_axis,Y_axis,Z_axis,delta_X,delta_Y,delta_Z,XfO,YfO,ZfO,Computer_Time,Seconds,X_axis,Y_axis,Z_axis,delta_X,delta_Y,delta_Z,XfO,YfO,ZfO,Computer_Time,Seconds,X_axis,Y_axis,Z_axis,delta_X,delta_Y,delta_Z,XfO,YfO,ZfO,Computer_Time,Seconds,X_axis,Y_axis,Z_axis,delta_X,delta_Y,delta_Z,XfO,YfO,ZfO,Computer_Time,Seconds,X_axis,Y_axis,Z_axis,delta_X,delta_Y,delta_Z,XfO,YfO,ZfO
2023-08-11 22:15,1,71.97438,3.956077,354.3331,71.97438,3.956077,354.3331,0,0,0,2023-08-11 22:35,1,327.6375,219.9333,190.9586,327.6375,219.9333,190.9586,0,0,0,2023-08-11 22:47,1,283.918,42.19487,32.97018,283.918,42.19487,32.97018,0,0,0,2023-08-11 22:57,1,271.902,222.6189,222.6146,271.902,222.6189,222.6146,0,0,0,2023-08-11 23:09,1,280.7103,47.43056,27.14193,280.7103,47.43056,27.14193,0,0,0,2023-08-11 23:20,1,273.8356,47.9554,29.23877,273.8356,47.9554,29.23877,0,0,0,2023-08-11 23:32,1,287.3022,31.22727,30.72525,287.3022,31.22727,30.72525,0,0,0
2023-08-11 22:15,2,72.77476,4.054181,353.9479,0.8003769,0.09810352,-0.3851929,-0.80038,-0.098104,0.3852,2023-08-11 22:35,2,326.8947,220.1107,191.3178,-0.7428589,0.1774597,0.3592224,0.7428,-0.1774,-0.3592,2023-08-11 22:47,2,284.8839,41.84583,33.25018,0.9658813,-0.3490372,0.2799988,-0.9659,0.34904,-0.28,2023-08-11 22:58,2,270.9338,222.3434,222.9654,-0.9682007,-0.2754974,0.3507996,0.9682,0.2755,-0.3508,2023-08-11 23:09,2,281.63,47.12599,27.43866,0.9196777,-0.3045731,0.2967262,-0.9197,0.30457,-0.29673,2023-08-11 23:20,2,274.7448,47.68497,29.55769,0.9091797,-0.2704315,0.3189182,-0.9092,0.27043,-0.31892,2023-08-11 23:32,2,288.2546,30.87275,30.98198,0.9523621,-0.3545132,0.2567291,-0.9524,0.35452,-0.25673
2023-08-11 22:15,3,73.57832,4.159726,353.5636,0.8035583,0.105545,-0.3843384,-1.60394,-0.203649,0.7695,2023-08-11 22:35,3,326.1507,220.2836,191.6787,-0.743927,0.1728821,0.3608704,1.4868,-0.3503,-0.7201,2023-08-11 22:47,3,285.8554,41.49178,33.52404,0.9714966,-0.3540535,0.2738571,-1.9374,0.70309,-0.55386,2023-08-11 22:58,3,270.0396,85.33546,0,-0.8942261,-137.008,-222.9654,1.8624,137.28344,222.6146,2023-08-11 23:09,3,282.5556,46.81387,27.73338,0.9256287,-0.3121185,0.2947254,-1.8453,0.61669,-0.59145,2023-08-11 23:20,3,275.6524,47.41175,29.87823,0.9075928,-0.2732201,0.3205338,-1.8168,0.54365,-0.63946,2023-08-11 23:32,3,289.2152,30.51427,31.23265,0.9606018,-0.3584862,0.2506714,-1.913,0.713,-0.5074
2023-08-11 22:15,4,74.38074,4.268727,353.1826,0.8024216,0.1090012,-0.3809509,-2.40636,-0.31265,1.1505,2023-08-11 22:35,4,325.4121,220.4532,192.0417,-0.7386169,0.1695557,0.3629913,2.2254,-0.5199,-1.0831,2023-08-11 22:47,4,286.831,41.13137,33.79179,0.9756165,-0.360405,0.2677498,-2.913,1.0635,-0.82161,2023-08-11 22:58,4,271.0226,41.76807,43.64992,0.9830322,-43.56739,43.64992,0.8794,180.85083,178.96468,2023-08-11 23:09,4,283.483,46.49637,28.0206,0.9274292,-0.3175011,0.2872181,-2.7727,0.93419,-0.87867,2023-08-11 23:20,4,276.5794,47.12434,30.19127,0.927002,-0.2874069,0.3130455,-2.7438,0.83106,-0.9525,2023-08-11 23:32,4,290.1775,30.14554,31.47658,0.9622803,-0.3687286,0.243927,-2.8753,1.08173,-0.75133
2023-08-11 22:15,5,7.229593,358.9077,359.0847,-67.15115,354.6389,5.90213,64.744787,-354.951623,-4.7516,2023-08-11 22:35,5,348.7716,354.6324,8.549699,23.35953,134.1792,-183.492,-21.1341,-134.6991,182.408901,2023-08-11 22:47,5,4.643738,12.06974,2.004476,-282.1873,-29.06163,-31.78731,279.274262,30.12513,30.965704,2023-08-11 22:58,5,5.242432,353.3581,2.332217,-265.7802,311.5901,-41.3177,266.659568,-130.7392,220.282383,2023-08-11 23:09,5,4.690499,21.02579,1.486305,-278.7925,-25.47058,-26.5343,276.019801,26.40477,25.655625,2023-08-11 23:20,5,4.854897,16.34765,1.521722,-271.7245,-30.77669,-28.66955,268.980703,31.60775,27.717048,2023-08-11 23:32,5,5.411126,4.57305,1.3144,-284.7664,-25.57249,-30.16218,281.891074,26.65422,29.41085
2023-08-11 22:15,6,5.022072,358.5906,359.3528,-2.207521,-0.3170776,0.2680664,66.952308,-354.634523,-5.0197,2023-08-11 22:35,6,8.043694,352.9494,359.7081,-340.7279,-1.683014,351.1584,319.593806,-133.0161,-168.7495,2023-08-11 22:47,6,8.026931,11.73353,359.6902,3.383193,-0.3362074,357.6857,275.891069,30.46134,-326.72002,2023-08-11 22:58,6,8.011324,353.0317,359.6943,2.768892,-0.3263855,357.3621,263.890676,-130.4128,-137.0797,2023-08-11 23:09,6,7.993096,20.70882,359.6891,3.302598,-0.3169651,358.2029,272.717204,26.72174,-332.54717,2023-08-11 23:20,6,8.011909,16.00205,359.6866,3.157013,-0.3456078,358.1648,265.823691,31.95335,-330.44783,2023-08-11 23:32,6,7.981011,4.27658,359.6809,2.569886,-0.2964692,358.3665,279.321189,26.95069,-328.95565
2023-08-11 22:15,7,5.10173,358.3328,359.3404,0.07965803,-0.2578125,-0.01245117,66.87265,-354.376723,-5.0073,2023-08-11 22:35,7,8.119912,352.6999,359.679,0.07621765,-0.2494812,-0.02911377,319.517588,-132.7666,-168.7204,2023-08-11 22:47,7,8.126472,11.45301,359.6556,0.09954166,-0.2805262,-0.03457642,275.791528,30.74186,-326.68542,2023-08-11 22:58,7,8.083734,352.7825,359.6708,0.07240963,-0.2492676,-0.02355957,263.818266,-130.1636,-137.0562,2023-08-11 23:09,7,8.060524,20.4637,359.6652,0.06742764,-0.2451248,-0.0239563,272.649776,26.96686,-332.52327,2023-08-11 23:20,7,8.121133,15.69373,359.6432,0.1092234,-0.3083153,-0.043396,265.714467,32.26167,-330.40443,2023-08-11 23:32,7,8.06022,4.032227,359.6555,0.07920837,-0.2443538,-0.02536011,279.24198,27.195043,-328.93025
2023-08-11 22:15,8,5.369286,358.1127,359.2609,0.2675562,-0.2200623,-0.07946777,66.605094,-354.156623,-4.9278,2023-08-11 22:35,8,8.37266,352.4805,359.6024,0.2527475,-0.2193604,-0.07659912,319.26484,-132.5472,-168.6438,2023-08-11 22:47,8,8.477752,11.17355,359.5421,0.3512793,-0.2794571,-0.1134949,275.440248,31.02132,-326.57192,2023-08-11 22:58,8,8.344515,352.5667,359.5835,0.2607813,-0.2157593,-0.08728027,263.557485,-129.9478,-136.9689,2023-08-11 23:09,8,8.324059,20.24413,359.5785,0.2635345,-0.2195683,-0.08666992,272.386241,27.18643,-332.43657,2023-08-11 23:20,8,8.510666,15.38517,359.5128,0.389533,-0.3085575,-0.1303406,265.324934,32.57023,-330.27403,2023-08-11 23:32,8,8.320351,3.820765,359.5784,0.2601309,-0.2114611,-0.0770874,278.981849,27.406505,-328.85315
2023-08-11 22:15,9,5.562539,357.9152,359.1966,0.1932526,-0.1974792,-0.06433105,66.411841,-353.959123,-4.8635,2023-08-11 22:35,9,8.581292,352.2908,359.5348,0.2086325,-0.1896973,-0.06756592,319.056208,-132.3575,-168.5762,2023-08-11 22:47,9,8.809005,10.89365,359.4308,0.3312531,-0.2799025,-0.1113586,275.108995,31.30122,-326.46062,2023-08-11 22:58,9,8.544273,352.3761,359.5153,0.1997585,-0.1906128,-0.06817627,263.357727,-129.7572,-136.9007,2023-08-11 23:09,9,8.527368,20.05283,359.5091,0.2033091,-0.1912956,-0.06939697,272.182932,27.37773,-332.36717,2023-08-11 23:20,9,8.810302,15.10577,359.4116,0.2996359,-0.2794046,-0.1012268,265.025298,32.84963,-330.17283,2023-08-11 23:32,9,8.519997,3.629622,359.5139,0.199646,-0.1911435,-0.0645752,278.782203,27.597648,-328.78865
2023-08-11 22:15,10,5.639876,357.7401,359.1727,0.07733774,-0.1751099,-0.02389526,66.334504,-353.784023,-4.8396,2023-08-11 22:35,10,8.661964,352.1228,359.5059,0.08067226,-0.1679993,-0.02890015,318.975536,-132.1895,-168.5473,2023-08-11 22:47,10,9.010491,10.61236,359.3607,0.2014866,-0.2812929,-0.07012939,274.907509,31.58251,-326.39052,2023-08-11 22:58,10,8.618064,352.2052,359.4896,0.07379055,-0.170929,-0.02572632,263.283936,-129.5863,-136.875,2023-08-11 23:09,10,8.608215,19.88474,359.4847,0.08084774,-0.1680946,-0.02441406,272.102085,27.54582,-332.34277,2023-08-11 23:20,10,8.928353,14.85887,359.3706,0.1180515,-0.2469006,-0.04095459,264.907247,33.09653,-330.13183,2023-08-11 23:32,10,8.596818,3.462624,359.4841,0.07682133,-0.1669979,-0.02975464,278.705382,27.764646,-328.75885
